nm	Abs
700.00	0.002
699.80	0.002
699.60	0.002
699.40	0.001
699.20	0.001
699.00	0.002
698.80	0.001
698.60	0.002
698.40	0.002
698.20	0.001
698.00	0.002
697.80	0.002
697.60	0.002
697.40	0.002
697.20	0.001
697.00	0.002
696.80	0.002
696.60	0.001
696.40	0.002
696.20	0.001
696.00	0.002
695.80	0.002
695.60	0.001
695.40	0.002
695.20	0.002
695.00	0.002
694.80	0.002
694.60	0.001
694.40	0.002
694.20	0.001
694.00	0.001
693.80	0.002
693.60	0.001
693.40	0.001
693.20	0.002
693.00	0.002
692.80	0.001
692.60	0.002
692.40	0.001
692.20	0.003
692.00	0.001
691.80	0.001
691.60	0.003
691.40	0.001
691.20	0.002
691.00	0.002
690.80	0.001
690.60	0.003
690.40	0.001
690.20	0.002
690.00	0.003
689.80	0.001
689.60	0.002
689.40	0.003
689.20	0.001
689.00	0.002
688.80	0.002
688.60	0.002
688.40	0.002
688.20	0.002
688.00	0.001
687.80	0.002
687.60	0.002
687.40	0.002
687.20	0.002
687.00	0.002
686.80	0.002
686.60	0.002
686.40	0.001
686.20	0.002
686.00	0.002
685.80	0.001
685.60	0.002
685.40	0.002
685.20	0.002
685.00	0.002
684.80	0.001
684.60	0.003
684.40	0.002
684.20	0.001
684.00	0.002
683.80	0.002
683.60	0.002
683.40	0.001
683.20	0.002
683.00	0.002
682.80	0.002
682.60	0.001
682.40	0.002
682.20	0.003
682.00	0.001
681.80	0.002
681.60	0.003
681.40	0.001
681.20	0.003
681.00	0.002
680.80	0.002
680.60	0.002
680.40	0.002
680.20	0.002
680.00	0.003
679.80	0.002
679.60	0.003
679.40	0.002
679.20	0.001
679.00	0.004
678.80	0.002
678.60	0.002
678.40	0.003
678.20	0.003
678.00	0.002
677.80	0.003
677.60	0.002
677.40	0.004
677.20	0.002
677.00	0.002
676.80	0.004
676.60	0.002
676.40	0.002
676.20	0.003
676.00	0.001
675.80	0.003
675.60	0.001
675.40	0.002
675.20	0.001
675.00	0.002
674.80	0.002
674.60	0.001
674.40	0.002
674.20	0.001
674.00	0.003
673.80	0.002
673.60	0.001
673.40	0.003
673.20	0.002
673.00	0.002
672.80	0.002
672.60	0.001
672.40	0.002
672.20	0.001
672.00	0.002
671.80	0.003
671.60	0.002
671.40	0.000
671.20	0.003
671.00	0.002
670.80	0.001
670.60	0.003
670.40	0.001
670.20	0.002
670.00	0.002
669.80	0.001
669.60	0.002
669.40	0.002
669.20	0.001
669.00	0.003
668.80	0.001
668.60	0.001
668.40	0.003
668.20	0.001
668.00	0.001
667.80	0.003
667.60	0.002
667.40	0.002
667.20	0.002
667.00	0.001
666.80	0.003
666.60	0.002
666.40	0.002
666.20	0.002
666.00	0.002
665.80	0.001
665.60	0.002
665.40	0.002
665.20	0.002
665.00	0.002
664.80	0.002
664.60	0.001
664.40	0.002
664.20	0.002
664.00	0.001
663.80	0.002
663.60	0.002
663.40	0.003
663.20	0.002
663.00	0.001
662.80	0.003
662.60	0.002
662.40	0.001
662.20	0.003
662.00	0.001
661.80	0.003
661.60	0.002
661.40	0.001
661.20	0.004
661.00	0.002
660.80	0.001
660.60	0.003
660.40	0.001
660.20	0.002
660.00	0.003
659.80	0.002
659.60	0.002
659.40	0.002
659.20	0.002
659.00	0.002
658.80	0.002
658.60	0.002
658.40	0.003
658.20	0.002
658.00	0.002
657.80	0.002
657.60	0.003
657.40	0.002
657.20	0.003
657.00	0.003
656.80	0.003
656.60	0.002
656.40	0.003
656.20	0.003
656.00	0.003
655.80	0.002
655.60	0.003
655.40	0.003
655.20	0.003
655.00	0.003
654.80	0.002
654.60	0.003
654.40	0.003
654.20	0.003
654.00	0.002
653.80	0.004
653.60	0.002
653.40	0.003
653.20	0.003
653.00	0.003
652.80	0.004
652.60	0.002
652.40	0.003
652.20	0.004
652.00	0.002
651.80	0.004
651.60	0.003
651.40	0.003
651.20	0.004
651.00	0.002
650.80	0.003
650.60	0.004
650.40	0.002
650.20	0.004
650.00	0.004
649.80	0.003
649.60	0.004
649.40	0.004
649.20	0.003
649.00	0.005
648.80	0.004
648.60	0.004
648.40	0.004
648.20	0.004
648.00	0.004
